iD,x,y,z,Description
EE_C01, 8.5452299,  76.90765348,-1, Project lab
EE_C02, 8.54526108, 76.90769394,-1, IET lab
EE_C03, 8.545303,   76.90774530,-1, S7/S8 E2 Classroom
EE_C04, 8.54536178, 76.90782259,-1, S7/S8 E1 Classroom
EE_C05, 8.54543488, 76.90791545,-1, TBI cabins
EE_T0 , 8.54556239, 76.90790882,-1, Toilet
EE_101, 8.54524177, 76.9076463,  1, Staff room
EE_102, 8.54528056, 76.90770644, 1, Faculty room
EE_103, 8.54534654, 76.90778428, 1, Faculty room
EE_104, 8.54544622, 76.90790982, 1, Measurements lab
EE_105, 8.54558600, 76.90783094, 1, Seminar lab
EE_106, 8.54552673, 76.90775107, 1, M. Tech Classroom
EE_107, 8.54547258, 76.90767535, 1, Dept. library
EE_T1 , 8.54557865, 76.90789266, 1, Toilet
EE_201, 8.54525425, 76.90767567, 2, HOD office
EE_202, 8.54530026, 76.90772875, 2, Conference room
EE_203, 8.545379,   76.90782474, 2, Professor's room
EE_204, 8.54543828, 76.90790358, 2, Electronic circuits lab
EE_205, 8.54558928, 76.90784388, 2, S1/S2 E1 Classroom
EE_206, 8.54552695, 76.90775934, 2, S1/S2 E2 Classroom
EE_207, 8.54547485, 76.90768518, 2, M. Tech Classroom
EE_208, 8.54541813, 76.9076079,  2, M. Tech Classroom
EE_T2 , 8.54558003, 76.90789266, 2, Toilet
EE_301, 8.54524254, 76.90764728, 3, Ladies Amenities Room
EE_302, 8.54529257, 76.90771437, 3, Faculty room
EE_303, 8.54536419, 76.90780896, 3, Class room
EE_304, 8.54544224, 76.90791101, 3, Microprocessor lab
EE_305, 8.54559460, 76.90784307, 3, S5/S6 E1 Classroom
EE_306, 8.54553492, 76.90776385, 3, S5/S6 E2 Classroom
EE_307, 8.54547522, 76.90768836, 3, S3/S4 E1 Classroom
EE_308, 8.54542387, 76.90760733, 3, S3/S4 E2 Classroom
EE_T3 , 8.54558051, 76.90789035, 3, Toilet
