id, x, y, z, val, fx, fy
ME1-101, 76.9068902,  8.5458233,  0, Computer intergrated manufacturing lab, , 
ME1-J0W, 76.90696958, 8.54581402, 0, _junction, , 
ME1-102, 76.90694269, 8.54575972, 0, Machine Dynamics Lab, , 
ME1-J0S, 76.90701908, 8.54574246, 0, _junction, , 
ME1-S0S, 76.90704193, 8.54575759, 0, stairs, , 
ME1-105, 76.90712576, 8.545809,   0, Staff Room, , 
ME1-J0E, 76.90715310, 8.54585004, 0, _junction, , 
ME1-106, 76.90716828, 8.54591312, 0, Software LAB, , 
ME1-J0N, 76.90710197, 8.54591126, 0, _junction, , 
ME1-S0N, 76.90707835, 8.54589692, 0, stairs, , 
ME1-104, 76.90700302, 8.54590438, 0, CNC LAB, , 
ME1-103, 76.90699713, 8.54568499, 0, Tribology Research Lab, , 
ME1_w1,	 76.90708198, 8.54577417, 0, Washroom, , 
ME1-201, 76.90691284, 8.54583015, 1, Mechanical engineering seminar hall - 2, , 
ME1-J1W, 76.90696958, 8.54581402, 1, _junction, , 
ME1-202, 76.90695725, 8.54575149, 1, Mechanical engineering seminar hall - 1, , 
ME1-J1S, 76.90701908, 8.54574246, 1, _junction, , 
ME1-S1S, 76.90704193, 8.54575759, 1, stairs, , 
ME1-204, 76.90709301, 8.54577949, 1, Staff Room, , 
ME1-205, 76.90712993, 8.5458024,  1, Staff Room, , 
ME1-206, 76.90715364, 8.54582379, 1, Staff Room, , 
ME1-J1E, 76.90715310, 8.54585004, 1, _junction, , 
ME1-209, 76.90716927, 8.54590913, 1, Staff Room, , 
ME1-J1N, 76.90710197, 8.54591126, 1, _junction, ,  
ME1-S1N, 76.90707835, 8.54589692, 1, stairs, , 
ME1_w2,	 76.90704734, 8.54592805, 1, Washroom, , 
ME1-211, 76.90702166, 8.54591225, 1, Staff Room, , 
ME1-212, 76.90699797, 8.54589365, 1, Staff Room, , 
ME1-213, 76.90697467, 8.54587465, 1, Staff Room, , 
ME1-203, 76.90703134, 8.54568661, 1, Staff Room, , 
ME1-207, 76.90720819, 8.54585319, 1, Staff Room, , 
ME1-208, 76.90723168, 8.54583038, 1, Staff Room, , 
ME1-210, 76.90711322, 8.54598268, 1, Staff Room, , 
ME1-301, 76.90691002, 8.54582579, 2, S5/S6 M1 Lecture Hall, , 
ME1-J2W, 76.90696958, 8.54581402, 2, _junction, , 
ME1-302, 76.90696288, 8.54575664, 2, S5/S6 M3 Lecture Hall, , 
ME1-J2S, 76.90701908, 8.54574246, 2, _junction, , 
ME1-S2S, 76.90704193, 8.54575759, 2, stairs, , 
ME1-304, 76.90710299, 8.54577506, 2, Optical Microscopy, , 
ME1-305, 76.90714521, 8.54581826, 2, Model Room, , 
ME1-J2E, 76.90715310, 8.54585004, 2, _junction, , 
ME1-306, 76.9072058,  8.54585539, 2, Department Library, , 
ME1_str, 76.90714661, 8.54593851, 2, Store, , 
ME1-J2N, 76.90710197, 8.54591126, 2, _junction, ,  
ME1-S2N, 76.90707835, 8.54589692, 2, stairs, , 
ME1_w3,	 76.90704337, 8.54593265, 2, Washroom, , 
ME1-308, 76.90702327, 8.54591363, 2, Staff Room, , 
ME1-309, 76.90698233, 8.54588716, 2, Energy Research Lab 2, , 
ME1-303, 76.90703421, 8.54570014, 2, Energy Research Lab 1, , 
ME1-307, 76.9071044,  8.54597775, 2, S5/S6 M2 Lecture Hall, , 

